date,shipping_id,status,ship_service_level,estimated_delivery_date,fulfilled_by,update_date
2019-01-01,10080,Delivered to buyer,Expedited,2019-01-03,,
2019-01-01,10081,Cancelled,Standard,,Shiprocket Fulfillment,
2019-01-01,10082,Delivered to buyer,Expedited,2019-01-03,,
2019-01-01,10083,Delivered to buyer,Expedited,2019-01-04,,
2019-01-01,10084,Delivered to buyer,Standard,2019-01-08,,
2019-01-01,10085,Delivered to buyer,Expedited,2019-01-03,,
2019-01-01,10086,Cancelled,Expedited,,,
2019-01-01,10087,Delivered to buyer,Expedited,2019-01-03,,
2019-01-01,10088,Delivered to buyer,Expedited,2019-01-03,,
2019-01-01,10089,Cancelled,Expedited,,,
2019-01-01,10090,Delivered to buyer,Expedited,2019-01-05,,
2019-01-02,10091,Delivered to buyer,Standard,2019-01-08,Easy Ship,
2019-01-02,10092,Delivered to buyer,Standard,2019-01-09,,
2019-01-02,10093,Delivered to buyer,Expedited,2019-01-06,,
2019-01-02,10094,Delivered to buyer,Standard,2019-01-08,Quickshift Fulfillment,
2019-01-02,10095,Delivered to buyer,Standard,2019-01-09,,
2019-01-02,10096,Delivered to buyer,Expedited,2019-01-05,,
2019-01-02,10097,Delivered to buyer,Standard,2019-01-09,Prozo,
2019-01-02,10098,Delivered to buyer,Expedited,2019-01-06,,
2019-01-02,10099,Delivered to buyer,Expedited,2019-01-06,,
2019-01-02,10100,Delivered to buyer,Standard,2019-01-10,DHL,
2019-01-02,10101,Delivered to buyer,Standard,2019-01-07,Quickshift Fulfillment,
2019-01-02,10102,Delivered to buyer,Standard,2019-01-09,DHL,
2019-01-02,10103,Delivered to buyer,Expedited,2019-01-06,,
2019-01-02,10104,Delivered to buyer,Standard,2019-01-09,,
2019-01-02,10105,Delivered to buyer,Expedited,2019-01-05,,
2019-01-02,10106,Delivered to buyer,Standard,2019-01-08,Quickshift Fulfillment,
2019-01-02,10107,Delivered to buyer,Standard,2019-01-09,DHL,
2019-01-02,10108,Delivered to buyer,Standard,2019-01-07,DHL,
2019-01-02,10109,Delivered to buyer,Expedited,2019-01-04,,
2019-01-02,10110,Delivered to buyer,Expedited,2019-01-06,,
2019-01-02,10111,Delivered to buyer,Expedited,2019-01-04,,
2019-01-02,10112,Delivered to buyer,Standard,2019-01-08,Prozo,
2019-01-02,10113,Delivered to buyer,Standard,2019-01-08,,
2019-01-02,10114,Delivered to buyer,Standard,2019-01-09,Prozo,
2019-01-02,10115,Delivered to buyer,Standard,2019-01-10,Prozo,
2019-01-02,10116,Delivered to buyer,Standard,2019-01-08,DHL,
2019-01-02,10117,Delivered to buyer,Standard,2019-01-07,Easy Ship,
2019-01-02,10118,Delivered to buyer,Standard,2019-01-10,DHL,
2019-01-02,10119,Delivered to buyer,Standard,2019-01-07,Quickshift Fulfillment,
2019-01-02,10120,Delivered to buyer,Expedited,2019-01-06,,
2019-01-02,10121,Delivered to buyer,Expedited,2019-01-05,,
2019-01-02,10122,Cancelled,Standard,,Easy Ship,
2019-01-02,10123,Delivered to buyer,Standard,2019-01-07,Shiprocket Fulfillment,
2019-01-02,10124,Cancelled,Standard,,Shiprocket Fulfillment,
2019-01-02,10125,Delivered to buyer,Expedited,2019-01-06,,
2019-01-02,10126,Delivered to buyer,Standard,2019-01-10,DHL,
2019-01-02,10127,Delivered to buyer,Expedited,2019-01-06,,
2019-01-02,10128,Delivered to buyer,Standard,2019-01-07,Shiprocket Fulfillment,
2019-01-02,10129,Delivered to buyer,Standard,2019-01-08,Prozo,
2019-01-02,10130,Delivered to buyer,Expedited,2019-01-06,,
2019-01-02,10131,Returned,Expedited,2019-01-06,,
2019-01-02,10132,Delivered to buyer,Standard,2019-01-07,Quickshift Fulfillment,
2019-01-02,10133,Delivered to buyer,Standard,2019-01-09,,
2019-01-02,10134,Delivered to buyer,Expedited,2019-01-04,,
2019-01-02,10135,Delivered to buyer,Standard,2019-01-08,Quickshift Fulfillment,
2019-01-02,10136,Delivered to buyer,Standard,2019-01-08,,
2019-01-02,10137,Delivered to buyer,Expedited,2019-01-04,,
2019-01-02,10138,Delivered to buyer,Standard,2019-01-08,,
2019-01-02,10139,Delivered to buyer,Standard,2019-01-08,Shiprocket Fulfillment,
2019-01-02,10140,Delivered to buyer,Expedited,2019-01-06,,
2019-01-02,10141,Delivered to buyer,Expedited,2019-01-05,,
2019-01-02,10142,Delivered to buyer,Expedited,2019-01-06,,
2019-01-02,10143,Delivered to buyer,Standard,2019-01-07,Prozo,
2019-01-02,10144,Cancelled,Standard,,,
2019-01-02,10145,Delivered to buyer,Expedited,2019-01-06,,
2019-01-02,10146,Delivered to buyer,Standard,2019-01-10,,
2019-01-02,10147,Delivered to buyer,Standard,2019-01-10,Easy Ship,
2019-01-02,10148,Delivered to buyer,Expedited,2019-01-05,,
2019-01-02,10149,Delivered to buyer,Expedited,2019-01-04,,
2019-01-02,10150,Delivered to buyer,Standard,2019-01-09,,
2019-01-02,10151,Cancelled,Expedited,,,
2019-01-02,10152,Cancelled,Standard,,DHL,
2019-01-02,10153,Delivered to buyer,Expedited,2019-01-05,,
2019-01-02,10154,Delivered to buyer,Standard,2019-01-08,DHL,
2019-01-02,10155,Delivered to buyer,Standard,2019-01-09,Prozo,
2019-01-02,10156,Delivered to buyer,Expedited,2019-01-04,,
2019-01-02,10157,Delivered to buyer,Standard,2019-01-09,Quickshift Fulfillment,
2019-01-02,10158,Delivered to buyer,Standard,2019-01-08,,
2019-01-02,10159,Delivered to buyer,Standard,2019-01-09,Prozo,
2019-01-02,10160,Delivered to buyer,Standard,2019-01-07,,
2019-01-02,10161,Cancelled,Expedited,,,
2019-01-02,10162,Delivered to buyer,Standard,2019-01-09,Quickshift Fulfillment,
2019-01-02,10163,Delivered to buyer,Standard,2019-01-07,Shiprocket Fulfillment,
2019-01-02,10164,Delivered to buyer,Standard,2019-01-07,,
2019-01-02,10165,Delivered to buyer,Standard,2019-01-07,,
2019-01-02,10166,Delivered to buyer,Standard,2019-01-08,,
2019-01-02,10167,Delivered to buyer,Standard,2019-01-07,,
2019-01-02,10168,Delivered to buyer,Standard,2019-01-09,,
2019-01-02,10169,Delivered to buyer,Standard,2019-01-07,Shiprocket Fulfillment,
2019-01-02,10170,Delivered to buyer,Standard,2019-01-09,Quickshift Fulfillment,
2019-01-02,10171,Delivered to buyer,Expedited,2019-01-04,,
2019-01-02,10172,Delivered to buyer,Expedited,2019-01-06,,
2019-01-02,10173,Delivered to buyer,Expedited,2019-01-06,,
2019-01-02,10174,Delivered to buyer,Standard,2019-01-09,Prozo,
2019-01-02,10175,Cancelled,Standard,,DHL,
2019-01-02,10176,Cancelled,Standard,,,
2019-01-02,10177,Delivered to buyer,Expedited,2019-01-05,,
2019-01-02,10178,Delivered to buyer,Expedited,2019-01-05,,
2019-01-02,10179,Delivered to buyer,Expedited,2019-01-05,,
2019-01-02,10180,Delivered to buyer,Expedited,2019-01-05,,
2019-01-02,10181,Delivered to buyer,Expedited,2019-01-06,,
2019-01-02,10182,Delivered to buyer,Standard,2019-01-07,,
2019-01-02,10183,Delivered to buyer,Expedited,2019-01-04,,
2019-01-02,10184,Cancelled,Expedited,,,
2019-01-02,10185,Delivered to buyer,Standard,2019-01-09,,
2019-01-02,10186,Returned,Expedited,2019-01-05,,
2019-01-02,10187,Delivered to buyer,Expedited,2019-01-05,,
2019-01-02,10188,Cancelled,Standard,,DHL,
2019-01-02,10189,Delivered to buyer,Expedited,2019-01-06,,
2019-01-02,10190,Cancelled,Expedited,,,
2019-01-02,10191,Delivered to buyer,Expedited,2019-01-06,,
2019-01-02,10192,Delivered to buyer,Expedited,2019-01-06,,
2019-01-02,10193,Delivered to buyer,Expedited,2019-01-04,,
2019-01-02,10194,Delivered to buyer,Standard,2019-01-09,Shiprocket Fulfillment,
2019-01-02,10195,Delivered to buyer,Expedited,2019-01-04,,
2019-01-02,10196,Delivered to buyer,Expedited,2019-01-04,,
2019-01-02,10197,Delivered to buyer,Standard,2019-01-10,,
2019-01-02,10198,Delivered to buyer,Standard,2019-01-10,Prozo,
2019-01-02,10199,Delivered to buyer,Expedited,2019-01-05,,
2019-01-02,10200,Delivered to buyer,Expedited,2019-01-06,,
2019-01-02,10201,Delivered to buyer,Expedited,2019-01-05,,
2019-01-02,10202,Delivered to buyer,Standard,2019-01-07,Quickshift Fulfillment,
2019-01-02,10203,Delivered to buyer,Expedited,2019-01-05,,
2019-01-02,10204,Delivered to buyer,Standard,2019-01-09,,
2019-01-02,10205,Delivered to buyer,Expedited,2019-01-04,,
2019-01-02,10206,Delivered to buyer,Expedited,2019-01-05,,
2019-01-02,10207,Delivered to buyer,Standard,2019-01-10,,
2019-01-02,10208,Cancelled,Standard,,DHL,
2019-01-02,10209,Delivered to buyer,Expedited,2019-01-04,,
2019-01-02,10210,Delivered to buyer,Standard,2019-01-08,Easy Ship,
2019-01-03,10211,Delivered to buyer,Standard,2019-01-08,,
2019-01-03,10212,Delivered to buyer,Standard,2019-01-09,,
2019-01-03,10213,Delivered to buyer,Standard,2019-01-11,Easy Ship,
2019-01-03,10214,Delivered to buyer,Standard,2019-01-11,,
2019-01-03,10215,Delivered to buyer,Standard,2019-01-08,DHL,
2019-01-03,10216,Delivered to buyer,Standard,2019-01-08,,
2019-01-03,10217,Delivered to buyer,Standard,2019-01-08,DHL,
2019-01-03,10218,Delivered to buyer,Standard,2019-01-08,DHL,
2019-01-03,10219,Delivered to buyer,Standard,2019-01-11,,
2019-01-03,10220,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10221,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10222,Returned,Expedited,2019-01-07,,
2019-01-03,10223,Delivered to buyer,Standard,2019-01-10,Quickshift Fulfillment,
2019-01-03,10224,Delivered to buyer,Standard,2019-01-09,,
2019-01-03,10225,Delivered to buyer,Expedited,2019-01-07,,
2019-01-03,10226,Delivered to buyer,Standard,2019-01-08,Easy Ship,
2019-01-03,10227,Delivered to buyer,Standard,2019-01-09,DHL,
2019-01-03,10228,Cancelled,Expedited,,,
2019-01-03,10229,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10230,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10231,Delivered to buyer,Standard,2019-01-08,,
2019-01-03,10232,Delivered to buyer,Standard,2019-01-10,DHL,
2019-01-03,10233,Delivered to buyer,Standard,2019-01-11,Shiprocket Fulfillment,
2019-01-03,10234,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10235,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10236,Delivered to buyer,Standard,2019-01-08,,
2019-01-03,10237,Delivered to buyer,Standard,2019-01-08,,
2019-01-03,10238,Delivered to buyer,Expedited,2019-01-07,,
2019-01-03,10239,Cancelled,Standard,,,
2019-01-03,10240,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10241,Delivered to buyer,Standard,2019-01-10,DHL,
2019-01-03,10242,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10243,Returned,Standard,2019-01-11,,
2019-01-03,10244,Delivered to buyer,Standard,2019-01-09,,
2019-01-03,10245,Cancelled,Expedited,,,
2019-01-03,10246,Delivered to buyer,Standard,2019-01-08,Quickshift Fulfillment,
2019-01-03,10247,Delivered to buyer,Standard,2019-01-11,Easy Ship,
2019-01-03,10248,Cancelled,Expedited,,,
2019-01-03,10249,Delivered to buyer,Standard,2019-01-09,Easy Ship,
2019-01-03,10250,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10251,Delivered to buyer,Standard,2019-01-08,Easy Ship,
2019-01-03,10252,Delivered to buyer,Standard,2019-01-08,Quickshift Fulfillment,
2019-01-03,10253,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10254,Cancelled,Expedited,,,
2019-01-03,10255,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10256,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10257,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10258,Delivered to buyer,Standard,2019-01-10,Quickshift Fulfillment,
2019-01-03,10259,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10260,Cancelled,Expedited,,,
2019-01-03,10261,Delivered to buyer,Standard,2019-01-08,DHL,
2019-01-03,10262,Cancelled,Standard,,Easy Ship,
2019-01-03,10263,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10264,Delivered to buyer,Standard,2019-01-08,,
2019-01-03,10265,Delivered to buyer,Standard,2019-01-10,Easy Ship,
2019-01-03,10266,Delivered to buyer,Standard,2019-01-08,Shiprocket Fulfillment,
2019-01-03,10267,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10268,Delivered to buyer,Standard,2019-01-10,,
2019-01-03,10269,Delivered to buyer,Standard,2019-01-08,Quickshift Fulfillment,
2019-01-03,10270,Delivered to buyer,Standard,2019-01-11,Shiprocket Fulfillment,
2019-01-03,10271,Delivered to buyer,Expedited,2019-01-07,,
2019-01-03,10272,Delivered to buyer,Standard,2019-01-10,,
2019-01-03,10273,Cancelled,Standard,,Easy Ship,
2019-01-03,10274,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10275,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10276,Returned,Standard,2019-01-10,,
2019-01-03,10277,Delivered to buyer,Standard,2019-01-11,Easy Ship,
2019-01-03,10278,Delivered to buyer,Standard,2019-01-11,Easy Ship,
2019-01-03,10279,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10280,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10281,Delivered to buyer,Standard,2019-01-08,,
2019-01-03,10282,Cancelled,Expedited,,,
2019-01-03,10283,At logistics facility,Standard,2019-01-10,DHL,
2019-01-03,10284,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10285,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10286,Delivered to buyer,Standard,2019-01-08,,
2019-01-03,10287,Cancelled,Standard,,DHL,
2019-01-03,10288,Delivered to buyer,Standard,2019-01-09,Prozo,
2019-01-03,10289,Cancelled,Expedited,,,
2019-01-03,10290,Delivered to buyer,Standard,2019-01-11,DHL,
2019-01-03,10291,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10292,Delivered to buyer,Standard,2019-01-09,DHL,
2019-01-03,10293,Delivered to buyer,Expedited,2019-01-07,,
2019-01-03,10294,Delivered to buyer,Standard,2019-01-08,Shiprocket Fulfillment,
2019-01-03,10295,Delivered to buyer,Standard,2019-01-08,,
2019-01-03,10296,Delivered to buyer,Expedited,2019-01-07,,
2019-01-03,10297,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10298,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10299,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10300,Delivered to buyer,Standard,2019-01-11,Shiprocket Fulfillment,
2019-01-03,10301,Delivered to buyer,Standard,2019-01-09,,
2019-01-03,10302,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10303,Delivered to buyer,Standard,2019-01-10,Quickshift Fulfillment,
2019-01-03,10304,Delivered to buyer,Standard,2019-01-08,Easy Ship,
2019-01-03,10305,Delivered to buyer,Standard,2019-01-08,Easy Ship,
2019-01-03,10306,Delivered to buyer,Standard,2019-01-09,Prozo,
2019-01-03,10307,Delivered to buyer,Standard,2019-01-09,DHL,
2019-01-03,10308,Delivered to buyer,Standard,2019-01-10,Easy Ship,
2019-01-03,10309,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10310,Delivered to buyer,Standard,2019-01-10,Quickshift Fulfillment,
2019-01-03,10311,Pending,Standard,2019-01-10,,
2019-01-03,10312,Delivered to buyer,Expedited,2019-01-07,,
2019-01-03,10313,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10314,Cancelled,Expedited,,,
2019-01-03,10315,Cancelled,Standard,,DHL,
2019-01-03,10316,Delivered to buyer,Standard,2019-01-09,DHL,
2019-01-03,10317,Delivered to buyer,Standard,2019-01-10,,
2019-01-03,10318,Cancelled,Expedited,,,
2019-01-03,10319,Cancelled,Standard,,DHL,
2019-01-03,10320,Returned,Expedited,2019-01-07,,
2019-01-03,10321,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10322,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10323,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10324,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10325,Cancelled,Expedited,,,
2019-01-03,10326,Cancelled,Expedited,,,
2019-01-03,10327,Pending,Expedited,2019-01-06,,
2019-01-03,10328,Cancelled,Expedited,,,
2019-01-03,10329,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10330,At logistics facility,Standard,2019-01-09,,
2019-01-03,10331,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10332,Delivered to buyer,Standard,2019-01-11,,
2019-01-03,10333,Delivered to buyer,Standard,2019-01-11,DHL,
2019-01-03,10334,Delivered to buyer,Expedited,2019-01-07,,
2019-01-03,10335,Cancelled,Expedited,,,
2019-01-03,10336,Delivered to buyer,Standard,2019-01-11,,
2019-01-03,10337,Delivered to buyer,Standard,2019-01-11,Shiprocket Fulfillment,
2019-01-03,10338,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10339,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10340,Delivered to buyer,Expedited,2019-01-07,,
2019-01-03,10341,Cancelled,Expedited,,,
2019-01-03,10342,Delivered to buyer,Standard,2019-01-08,,
2019-01-03,10343,Cancelled,Standard,,,
2019-01-03,10344,Cancelled,Standard,,Easy Ship,
2019-01-03,10345,Cancelled,Expedited,,,
2019-01-03,10346,Delivered to buyer,Standard,2019-01-08,Shiprocket Fulfillment,
2019-01-03,10347,Cancelled,Standard,,,
2019-01-03,10348,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10349,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10350,Delivered to buyer,Standard,2019-01-10,Shiprocket Fulfillment,
2019-01-03,10351,Delivered to buyer,Standard,2019-01-08,,
2019-01-03,10352,Delivered to buyer,Expedited,2019-01-07,,
2019-01-03,10353,Delivered to buyer,Standard,2019-01-11,,
2019-01-03,10354,Delivered to buyer,Standard,2019-01-08,Quickshift Fulfillment,
2019-01-03,10355,Delivered to buyer,Standard,2019-01-09,Quickshift Fulfillment,
2019-01-03,10356,Delivered to buyer,Expedited,2019-01-07,,
2019-01-03,10357,Delivered to buyer,Standard,2019-01-08,,
2019-01-03,10358,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10359,Delivered to buyer,Standard,2019-01-09,Easy Ship,
2019-01-03,10360,Cancelled,Standard,,Prozo,
2019-01-03,10361,Cancelled,Standard,,,
2019-01-03,10362,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10363,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10364,Delivered to buyer,Standard,2019-01-10,DHL,
2019-01-03,10365,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10366,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10367,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10368,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10369,Delivered to buyer,Expedited,2019-01-07,,
2019-01-03,10370,Delivered to buyer,Standard,2019-01-10,,
2019-01-03,10371,Returned,Expedited,2019-01-05,,
2019-01-03,10372,Delivered to buyer,Standard,2019-01-09,Quickshift Fulfillment,
2019-01-03,10373,Delivered to buyer,Standard,2019-01-11,Prozo,
2019-01-03,10374,Delivered to buyer,Standard,2019-01-09,Prozo,
2019-01-03,10375,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10376,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10377,Delivered to buyer,Expedited,2019-01-07,,
2019-01-03,10378,Delivered to buyer,Standard,2019-01-08,Prozo,
2019-01-03,10379,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10380,Delivered to buyer,Standard,2019-01-09,Quickshift Fulfillment,
2019-01-03,10381,Delivered to buyer,Expedited,2019-01-07,,
2019-01-03,10382,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10383,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10384,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10385,Delivered to buyer,Standard,2019-01-11,Easy Ship,
2019-01-03,10386,Cancelled,Expedited,,,
2019-01-03,10387,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10388,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10389,Delivered to buyer,Standard,2019-01-09,DHL,
2019-01-03,10390,Cancelled,Expedited,,,
2019-01-03,10391,Delivered to buyer,Expedited,2019-01-07,,
2019-01-03,10392,Delivered to buyer,Expedited,2019-01-07,,
2019-01-03,10393,Delivered to buyer,Standard,2019-01-10,,
2019-01-03,10394,Delivered to buyer,Standard,2019-01-09,Shiprocket Fulfillment,
2019-01-03,10395,Delivered to buyer,Expedited,2019-01-07,,
2019-01-03,10396,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10397,Delivered to buyer,Standard,2019-01-11,,
2019-01-03,10398,Delivered to buyer,Standard,2019-01-09,Shiprocket Fulfillment,
2019-01-03,10399,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10400,Cancelled,Expedited,,,
2019-01-03,10401,Delivered to buyer,Standard,2019-01-08,,
2019-01-03,10402,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10403,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10404,Delivered to buyer,Expedited,2019-01-07,,
2019-01-03,10405,Delivered to buyer,Standard,2019-01-08,Prozo,
2019-01-03,10406,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10407,Delivered to buyer,Standard,2019-01-11,Easy Ship,
2019-01-03,10408,At logistics facility,Standard,2019-01-09,Quickshift Fulfillment,
2019-01-03,10409,At logistics facility,Standard,2019-01-11,,
2019-01-03,10410,Delivered to buyer,Standard,2019-01-10,Prozo,
2019-01-03,10411,Delivered to buyer,Standard,2019-01-08,,
2019-01-03,10412,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10413,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10414,Delivered to buyer,Standard,2019-01-11,Prozo,
2019-01-03,10415,Delivered to buyer,Standard,2019-01-10,,
2019-01-03,10416,Delivered to buyer,Expedited,2019-01-05,,
2019-01-03,10417,Delivered to buyer,Expedited,2019-01-06,,
2019-01-03,10418,Cancelled,Expedited,,,
